wine-11.13 (ableton-linux runtime 2026.08.30.1), exit codes truncated to 8 bits by the shell: 0x05 = 0xC0000005, 0x17 = 0xC0000417
ucrtbase.dll getc [handler] -> CRASHED | exit=0x05
ucrtbase.dll fgetwc [handler] -> CRASHED | exit=0x05
ucrtbase.dll _getw [handler] -> CRASHED | exit=0x05
ucrtbase.dll ftell [handler] -> CRASHED | exit=0x05
ucrtbase.dll _ftelli64 [handler] -> CRASHED | exit=0x05
ucrtbase.dll feof [handler] -> CRASHED | exit=0x05
ucrtbase.dll ferror [handler] -> CRASHED | exit=0x05
ucrtbase.dll _fileno [handler] -> CRASHED | exit=0x05
ucrtbase.dll fclose [handler] -> returned, ret=0xffffffff (int -1) errno=22 | exit=0x00
ucrtbase.dll rewind [handler] -> CRASHED | exit=0x05
ucrtbase.dll clearerr [handler] -> CRASHED | exit=0x05
ucrtbase.dll fputc [handler] -> CRASHED | exit=0x05
ucrtbase.dll putc [handler] -> CRASHED | exit=0x05
ucrtbase.dll fputwc [handler] -> CRASHED | exit=0x05
ucrtbase.dll _putw [handler] -> CRASHED | exit=0x05
ucrtbase.dll ungetc [handler] -> returned, ret=0xffffffffffffffff (int -1) errno=22 | exit=0x00
ucrtbase.dll ungetwc [handler] -> returned, ret=0x4000ffff (int 1073807359) errno=22 | exit=0x00
ucrtbase.dll fseek [handler] -> CRASHED | exit=0x05
ucrtbase.dll _fseeki64 [handler] -> CRASHED | exit=0x05
ucrtbase.dll setvbuf [handler] -> returned, ret=0xffffffffffffffff (int -1) errno=22 | exit=0x00
